id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
44962,AZ-0021,medium_airport,Qizilagach Air Base,39.006162,48.806312,,AS,AZ,AZ-MAS,Qizilagach,no,,,,,,,
27301,BCW,medium_airport,Benguera Island Airport,-21.8533,35.438301,,AF,MZ,MZ-I,Benguera Island,no,,BCW,,,,https://en.wikipedia.org/wiki/Benguera_Island_Airport,
111,BG-JAM,medium_airport,Bezmer Air Base,42.454899,26.3522,509.0,EU,BG,BG-28,Bezmer,no,,JAM,LBIA,,,https://en.wikipedia.org/wiki/Bezmer_Airbase,LB44
31697,BGAA,medium_airport,Aasiaat Airport,68.721802,-52.784698,74.0,,GL,GL-QK,Aasiaat,yes,BGAA,JEG,BGAA,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,https://en.wikipedia.org/wiki/Aasiaat_Airport,"Mittarfik Aasiaat, Aasiaat Lufthavn, Egedesminde"
113,BGBW,medium_airport,Narsarsuaq Airport,61.1605,-45.425999,112.0,,GL,GL-KU,Narsarsuaq,yes,BGBW,UAK,BGBW,,,https://en.wikipedia.org/wiki/Narsarsuaq_Airport,Mittarfik Narsarsuaq
114,BGGH,medium_airport,Nuuk Airport,64.191066,-51.67914,283.0,,GL,GL-SE,Nuuk,yes,BGGH,GOH,BGGH,,,https://en.wikipedia.org/wiki/Nuuk_Airport,"Godthåb, Nuussuaq, Mittarfik Nuuk, Nuuk International"
31694,BGJN,medium_airport,Ilulissat Airport,69.243202,-51.057098,95.0,,GL,GL-AV,Ilulissat,yes,BGJN,JAV,BGJN,,,https://en.wikipedia.org/wiki/Ilulissat_Airport,"Mittarfik Ilulissat, Ilulissat Lufthavn, Jakobshavn"
31786,BGKK,medium_airport,Kulusuk Airport,65.573601,-37.1236,117.0,,GL,GL-SE,Kulusuk,yes,BGKK,KUS,BGKK,,,https://en.wikipedia.org/wiki/Kulusuk_Airport,"Kap Dan, BGKD"
115,BGSF,medium_airport,Kangerlussuaq Airport,67.010446,-50.715294,165.0,,GL,GL-QA,Kangerlussuaq,yes,BGSF,SFJ,BGSF,,,https://en.wikipedia.org/wiki/Kangerlussuaq_Airport,"Bluie West 8, Sondrestrom Air Base, Sondrestromfjord Air Base"
31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33.0,,GL,GL-QA,Sisimiut,yes,BGSS,JHS,BGSS,,https://www.mit.gl/en/todays-flights/airports/sisimiut-airport/,https://en.wikipedia.org/wiki/Sisimiut_Airport,
116,BGTL,medium_airport,Pituffik Space Base,76.531197,-68.703201,251.0,,GL,GL-AV,Pituffik,yes,BGTL,THU,BGTL,,,https://en.wikipedia.org/wiki/Pituffik_Space_Base,Thule Air Base
117,BIAR,medium_airport,Akureyri Airport,65.656573,-18.072018,6.0,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR,,https://www.isavia.is/en/akureyri-airport,https://en.wikipedia.org/wiki/Akureyri_Airport,
119,BIEG,medium_airport,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,76.0,EU,IS,IS-7,Egilsstaðir,yes,BIEG,EGS,BIEG,,,https://en.wikipedia.org/wiki/Egilssta%C3%B0ir_Airport,
120,BIHN,medium_airport,Hornafjörður Airport,64.295601,-15.2272,24.0,EU,IS,IS-8,Höfn,yes,BIHN,HFN,BIHN,,,https://en.wikipedia.org/wiki/Hornafj%C3%B6r%C3%B0ur_Airport,
121,BIHU,medium_airport,Húsavík Airport,65.952301,-17.426001,48.0,EU,IS,IS-6,Húsavík,yes,BIHU,HZK,BIHU,,,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk_Airport,
122,BIIS,medium_airport,Ísafjörður Airport,66.058098,-23.1353,8.0,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,BIIS,,https://www.isavia.is/en/isafjordur-airport,https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,BIKF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station,REK"
125,BIRK,medium_airport,Reykjavík Domestic Airport,64.128732,-21.93759,48.0,EU,IS,IS-1,Reykjavík,yes,BIRK,RKV,BIRK,,,https://en.wikipedia.org/wiki/Reykjav%C3%ADk_Airport,REK
126,BISI,medium_airport,Siglufjörður Airport,66.137847,-18.908157,10.0,EU,IS,IS-6,Siglufjörður,no,BISI,SIJ,BISI,,,https://en.wikipedia.org/wiki/Siglufj%C3%B6r%C3%B0ur_Airport,
128,BIVM,medium_airport,Vestmannaeyjar Airport,63.42430114746094,-20.27890014648437,326.0,EU,IS,IS-8,Vestmannaeyjar,no,BIVM,VEY,BIVM,,,https://en.wikipedia.org/wiki/Vestmannaeyjar_Airport,
4614,BKPR,medium_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
333222,BR-0569,medium_airport,Glauber de Andrade Rocha Airport,-14.907885,-40.914804,2940.0,SA,BR,BR-BA,Vitória da Conquista,yes,,VDC,SBVC,BA0005,,https://en.wikipedia.org/wiki/Glauber_Rocha_Airport,SSVC
388,BR-2182,medium_airport,Russas - João de Deus Regional Airport,-4.94727,-38.008202,115.0,SA,BR,BR-CE,Russas,no,,,,CE0012,,,SNRS
353792,BTZ,medium_airport,Betong International Airport,5.79,101.15,785.0,AS,TH,TH-95,Betong,no,,BTZ,VTSY,,,https://en.wikipedia.org/wiki/Betong_Airport,
34946,BY-0001,medium_airport,Orsha Airport - Balbasovo Air Base,54.439999,30.2967,620.0,EU,BY,BY-VI,Orsha,no,,TXC,UMIO,,,https://en.wikipedia.org/wiki/Balbasovo,"Balbasava, Bolbasovo, Orsha Southwest"
44363,BY-0006,medium_airport,Osovtsy Air Base,52.556999,24.884001,,EU,BY,BY-BR,Byaroza,no,,,UMMO,,,https://en.wikipedia.org/wiki/Osovcy_(air_base),"Byaroza Air Base, Beryoza Air Base, Аэродром Осовцы, Аэродром Бяроза, Аэродром Берёза, УММО"
30861,BZ-CUK,medium_airport,Caye Caulker Airport,17.735015,-88.032862,2.0,,BZ,BZ-BZ,Caye Caulker,yes,,CUK,MZCK,,,https://en.wikipedia.org/wiki/Caye_Caulker_Airport,
30867,BZ-CYC,medium_airport,Caye Chapel Airport,17.683792,-88.044985,3.0,,BZ,BZ-BZ,Caye Chapel,yes,,CYC,MZCP,,,https://en.wikipedia.org/wiki/Caye_Chapel_Airport,
42209,BZ-CZH,medium_airport,Corozal Airport,18.3822,-88.411903,40.0,,BZ,BZ-CZL,Corozal,yes,,CZH,MZCZ,,,https://en.wikipedia.org/wiki/Corozal_Airport,Ranchito Airport
42207,BZ-DGA,medium_airport,Dangriga Airport,16.98251,-88.230988,10.0,,BZ,BZ-SC,Dangriga,yes,,DGA,MZPB,,,https://en.wikipedia.org/wiki/Dangriga_Airport,Stann Creek Airport
35305,BZ-PND,medium_airport,Punta Gorda Airport,16.1024,-88.808296,7.0,,BZ,BZ-TOL,Punta Gorda,yes,,PND,MZPG,PND,,https://en.wikipedia.org/wiki/Punta_Gorda_Airport_(Belize),
42210,BZ-SJX,medium_airport,Sartaneja Airport,18.3561,-88.130798,3.0,,BZ,BZ-CZL,Sartaneja,yes,,SJX,MZSJ,,,https://en.wikipedia.org/wiki/Sartaneja_Airport,
32370,BZ-SPR,medium_airport,John Greif II Airport,17.9139,-87.9711,4.0,,BZ,BZ-CY,San Pedro,yes,,SPR,MZSP,,,https://en.wikipedia.org/wiki/San_Pedro_Airport,
42215,BZ-TZA,medium_airport,Sir Barry Bowen Municipal Airport,17.517239,-88.195775,8.0,,BZ,BZ-BZ,Belize City,yes,,TZA,MZBE,,,https://en.wikipedia.org/wiki/Belize_City_Municipal_Airport,Belize City Municipal
27300,BZB,medium_airport,Bazaruto Island Airport,-21.5411,35.4729,,AF,MZ,MZ-I,Bazaruto Island,no,,BZB,,,,https://en.wikipedia.org/wiki/Bazaruto_Island_Airport,
624,CAJ4,medium_airport,Anahim Lake Airport,52.451501,-125.303776,3635.0,,CA,CA-BC,Anahim Lake,yes,,YAA,CAJ4,CAJ4,,https://en.wikipedia.org/wiki/Anahim_Lake_Airport,AJ4
643,CAT4,medium_airport,Qualicum Beach Airport,49.337456,-124.393086,191.0,,CA,CA-BC,Qualicum Beach,yes,,XQU,CAT4,CAT4,http://www.qualicumbeach.com/cms.asp?wpID=437,https://en.wikipedia.org/wiki/Qualicum_Beach_Airport,AT4
657,CAZ5,medium_airport,Cache Creek-Ashcroft Regional Airport,50.775258,-121.321314,2034.0,,CA,CA-BC,Cache Creek,no,,YZA,CAZ5,CAZ5,,https://en.wikipedia.org/wiki/Cache_Creek_Airport,AZ5
664,CBBC,medium_airport,Bella Bella (Campbell Island) Airport,52.185001,-128.156994,141.0,,CA,CA-BC,Bella Bella,yes,CBBC,ZEL,CBBC,CBBC,,https://en.wikipedia.org/wiki/Bella_Bella_(Campbell_Island)_Airport,BBC
344674,CD-0024,medium_airport,Boma Lukandu International Airport,-5.80543,12.99582,281.0,AF,CD,CD-BC,Boma,no,,,,,,https://en.wikipedia.org/wiki/Boma_International_Airport,
